region,name,lat,lon,date,magnitude,type,stations
Alaska,Southeastern Alaska,59,-136.656,6/4/14,5.7,Mw,3
Alaska,Southern Alaska,61.939,-150.704,6/22/09,5.5,Mw,8
Alaska,Nelchina,61.59,-146.404,8/25/04,5.3,Mw,3
Alaska,Rampart,65.284,-150.04,4/2/03,5,ML,1
Alaska,Denali,63.5375,-147.444,11/3/02,7.9,Mw,30
Alaska,Nenana Mountain,63.5144,-148.11,10/23/02,6.7,Mw,38
Alaska,"SE Anchorage, Alaska 1",61.2076,-149.7294,2/6/02,5,ML,12
Alaska,"SE Anchorage, Alaska 2",61.1684,-149.7317,2/6/02,5,ML,9
Alaska,Alaska Peninsula,59.025,-155.116,7/28/01,6.6,Mw,1
Alaska,Central Alaska,63.884,-150.15,11/29/00,5.8,Mw,1
Alaska,SE Alaska,60.6433,-141.5933,2/28/79,7.4,Mw,3
Alaska,Anchorage,61.909,-149.738,1/1/75,5.9,mb,4
Alaska,"Adak, Alaska",51.433,-177.213,5/2/71,7.1,ML,1
Arkansas,Enola 1,35.18,-92.23,7/5/82,3.8,ML,4
Arkansas,Enola 2,35.19,-92.24,6/26/82,3,ML,7
California,South Napa Earthquake,38.22,-122.313,8/24/14,6,Mw,285
California,La Habra Earthquake,33.93,-117.92,3/29/14,5.1,Mw,275
California,Ferndale Earthquake,40.829,-125.134,3/10/14,6.8,Mw,17
California,Canyondam,40.19,-121.06,5/24/13,5.7,Mw,14
California,New Idria,36.31,-120.86,10/21/12,5.3,ML,28
California,Brawley,33.024,-115.549,8/26/12,5.5,ML,18
California,Westmorland 1,33.019,-115.546,8/26/12,5.3,ML,11
California,Calexico 1,32.106,-115.201,2/14/12,4.9,Mw,2
California,Northern California (Weitchpec),41.143,-123.79,2/13/12,5.6,Mw,14
California,Borrego Springs,33.42,-116.489,7/7/10,5.5,Mw,236
California,Ocotillo,32.7,-115.921,6/15/10,5.8,Mw,109
California,Sierra El Mayor,32.297,-115.278,4/4/10,7.2,Mw,389
California,Ferndale 1,40.412,-124.961,2/4/10,5.9,Mw,13
California,Ferndale 2,40.652,-124.692,1/10/10,6.5,Mw,21
California,Calexico 2,32.437,-115.165,12/30/09,5.9,Mw,22
California,Olancha 1,36.391,-117.861,10/3/09,5.2,Mw,3
California,Olancha 2,36.388,-117.858,10/1/09,5.1,Mw,5
California,Calexico 3,32.381,-115.267,9/19/09,5.2,Mw,6
California,Barstow,34.813,-116.419,12/6/08,5.1,Mw,20
California,Calexico 4,32.412,-115.333,11/20/08,4.6,mb,4
California,Chino Hills,33.953,-117.761,7/29/08,5.5,Mw,341
California,Willow Creek,40.836,-123.497,4/30/08,5.4,Mw,10
California,Cerro Prieto 1,32.468,-115.317,2/19/08,5.1,Mw,4
California,Cerro Prieto 2,32.439,-115.317,2/11/08,5.1,Mw,12
California,Cerro Prieto 3,32.456,-115.315,2/9/08,5.1,Mw,14
California,Alum Rock,37.434,-121.774,10/31/07,5.6,Mw,146
California,"Trinidad, CA",41.116,-124.824,6/25/07,5,Mw,9
California,Petrolia 1,40.375,-125.016,5/9/07,5.4,Mw,2
California,Lafayette,37.901,-122.098,3/2/07,4.2,Mw,56
California,Offshore Northern California 1,40.642,-124.87,2/26/07,5.4,Mw,11
California,Offshore Northern California 2,40.281,-124.426,7/19/06,5,Mw,3
California,Obsidian Butte,33.16,-115.637,9/2/05,5.1,Mw,12
California,Greater Los Angeles,34.058,-117.011,6/16/05,4.9,Mw,55
California,Off the Coast of Northern California,41.328,-125.868,6/15/05,7.2,Mw,14
California,Anza 1,33.533,-116.578,6/12/05,5.2,Mw,121
California,Mettler,35.027,-119.178,4/16/05,4.6,Mw,12
California,Parkfield Aftershock,35.984,-120.55,9/30/04,5,Mw,3
California,Keene,35.389,-118.472,9/29/04,5,ML,1
California,Parkfield 1,35.815,-120.374,9/28/04,6,Mw,97
California,Adobe Hills 1,38.009,-118.668,9/18/04,5.4,Mw,8
California,Adobe Hills 2,38.0009,-118.679,9/18/04,5.5,Mw,8
California,San Clemente Island,32.376,-117.848,6/15/04,5.2,ML,23
California,San Simeon,35.706,-121.102,12/22/03,6.5,Mw,71
California,Humboldt Hill,40.984,-125.596,8/15/03,5.1,ML,1
California,Big Bear City,34.31,-116.848,2/22/03,5.4,ML,113
California,Yorba Linda,33.917,-117.776,9/3/02,4.8,ML,23
California,Bayview,40.829,-124.606,6/17/02,5.3,Mw,3
California,Gilroy,36.967,-121.6,5/14/02,4.9,Mw,35
California,Anza 2,33.5083,-116.5143,10/31/01,5.1,ML,73
California,Mohawk Valley,39.8105,-120.6165,8/10/01,5.4,ML,4
California,Big Bear Lake,34.2895,-116.9458,2/10/01,5.1,ML,49
California,Yountville,38.377,-122.414,9/3/00,5,Mw,28
California,Hector Mine,34.574,-116.291,10/16/99,7.1,Mw,96
